Model,MSE,Cost
LSTM,0.01284799538552761,210.90052955969605
CVX,0.024503594264388084,196.75585246310595
LSTM-CVX,0.022431792691349983,190.73716556865605
CVX-LSTM,0.012668180279433727,225.19409763272662
NAIVE,0.01986737921833992,243.3917561023264
PERFECT,0.0,41.68167373170901
