Model,MSE,Cost
LSTM,0.012179330922663212,231.81715035052702
CVX,0.02628110535442829,235.0169540991126
LSTM-CVX,0.023003455251455307,224.96161587430487
NAIVE,0.01880810409784317,257.7336566037615
PERFECT,0.0,53.5834799276582
