Model,MSE,Cost
LSTM,0.012081663124263287,236.5539781925142
CVX,0.02532218024134636,243.96509681895637
LSTM-CVX,0.021931061521172523,220.29136783098846
NAIVE,0.01880810409784317,263.4411262881806
PERFECT,0.0,42.86022331926374
