Model,MSE,Cost
LSTM,0.012518597766757011,196.34348867133525
CVX,0.02923673205077648,179.822802886838
LSTM-CVX,0.02499193511903286,165.5117743545586
CVX-LSTM,0.012385481037199497,214.01165507448155
NAIVE,0.019307905808091164,234.36018000070555
PERFECT,0.0,-4.35666194946126
