Model,MSE,Cost
LSTM,0.012790316715836525,341.1448617350239
CVX,0.02274525724351406,330.5849539068543
LSTM-CVX,0.02039128914475441,330.2086186558174
CVX-LSTM,0.012363351881504059,359.4208919434373
NAIVE,0.019262783229351044,386.21742346788983
PERFECT,0.0,103.81974364712273
