Model,MSE,Cost
LSTM,0.012447583489120007,408.45454008954295
CVX,0.027437981218099594,438.04023001949946
LSTM-CVX,0.015471769496798515,428.9856652220505
NAIVE,0.019473101943731308,417.6907435624075
PERFECT,0.0,308.6344165448523
