Model,MSE,Cost
LSTM,0.011995799839496613,277.86686101014044
CVX,0.03470518812537193,296.44099666709326
LSTM-CVX,0.02249770611524582,290.730610196505
NAIVE,0.01880810409784317,282.0546895918097
PERFECT,0.0,202.68679115412917
