Model,MSE,Cost
LSTM,0.011929832398891449,247.2500849332615
CVX,0.027961617335677147,265.95403798599216
LSTM-CVX,0.02248258888721466,247.81791054301186
NAIVE,0.01880810409784317,254.94844404172244
PERFECT,0.0,143.09561075004223
