Model,MSE,Cost
LSTM,0.012125002220273018,232.90464627641197
CVX,0.02775147557258606,245.3413317601851
LSTM-CVX,0.024871191009879112,228.8681617593084
NAIVE,0.01880810409784317,248.0106123738666
PERFECT,0.0,107.63094337299299
