Model,MSE,Cost
LSTM,0.012417212128639221,404.22259318418276
CVX,0.02968822419643402,391.28578852050407
LSTM-CVX,0.02487400732934475,386.5366885851901
NAIVE,0.019473101943731308,444.8713549782621
PERFECT,0.0,188.05486957163765
