,Solution,Real,RMSE,epochs,best
CVX,-24.53701479868307,-19.869862840351875,0.17714232206344604,100,8
CVX Transfer,-30.282506947431276,-20.56904249718299,0.1579069197177887,100,31
LSTM,-35.52242684167755,-14.241373249163924,0.11307656019926071,100,88
Naive,-32.31968600811109,-14.324429248705552,0.1387341022491455,0,0
Perfect,180.91007296874983,-32.512402671759666,0.0,0,0
