Model,MSE,Cost
LSTM,0.012335779145359993,404.794547767477
CVX,0.030016722157597542,399.7633475577663
LSTM-CVX,0.02534303441643715,387.0966195992251
NAIVE,0.019473101943731308,445.67629758899943
PERFECT,0.0,182.50231775917806
