Model,MSE,Cost
LSTM,0.012002946808934212,426.76594967671866
CVX,0.021275654435157776,396.8536686683769
LSTM-CVX,0.01910742186009884,400.83953532907225
CVX-LSTM,0.01207471452653408,439.42960574782563
NAIVE,0.018842441961169243,465.8810580985831
PERFECT,0.0,171.6532063915488
