Model,MSE,Cost
LSTM,0.01254002470523119,338.71510960767444
CVX,0.021862540394067764,335.58222639740006
LSTM-CVX,0.018192492425441742,330.76728888450174
CVX-LSTM,0.012694530189037323,354.8000804955259
NAIVE,0.01963481679558754,389.4761633726918
PERFECT,0.0,114.65599236172997
