Model,MSE,Cost
LSTM,0.012356474064290524,398.47380656930244
CVX,0.02919238992035389,393.61416473772806
LSTM-CVX,0.023351963609457016,384.9256173192803
NAIVE,0.019473101943731308,428.1237608712556
PERFECT,0.0,212.79557417088898
