Model,MSE,Cost
LSTM,0.012217302806675434,170.8839843695147
CVX,0.026031186804175377,143.10770714000074
LSTM-CVX,0.02334490232169628,141.60338754188476
CVX-LSTM,0.012381239794194698,177.2211586815305
NAIVE,0.019207512959837914,198.58293743830026
PERFECT,0.0,-47.7836855346044
