,Solution,Real,RMSE,epochs,best
CVX,-3.568393068393913,21.36359620270198,0.1906450092792511,29,27
CVX Transfer,-12.904371769095604,19.528750637813147,0.148744598031044,51,24
LSTM,-1.1135064159632828,19.161755989962007,0.11237175017595291,100,81
Naive,0.3190381761507141,20.63925398947834,0.1410728394985199,0,0
Perfect,254.39463427272503,-0.05244100997861406,0.0,0,0
